HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,33504,4,4
1,197632,23,23
2,6240,39,39
3,9056,51,51
4,9664,63,63
5,704,75,75
6,736,87,87
7,704,99,99
8,704,111,111
9,704,123,123
10,16032,135,135
11,12352,147,147
12,5152,159,159
13,704,171,171
14,704,183,183
15,2944,195,195
16,5088,207,207
17,4608,219,219
18,26848,231,231
19,25024,243,243
20,704,255,255
21,704,267,267
22,832,279,279
23,896,291,291
24,864,303,303
25,832,315,315
26,42688,327,327
27,704,339,339
28,736,351,351
29,704,363,363
30,736,375,375
31,768,387,387
32,672,399,399
33,704,411,411
34,640,423,423
35,3072,435,435
36,4992,447,447
37,4672,459,459
38,4576,471,471
39,5280,483,483
40,4416,495,495
41,4736,507,507
42,4896,519,519
43,4512,531,531
44,5120,543,543
45,4320,555,555
46,5088,567,567
47,4384,579,579
48,4544,591,591
49,4832,603,603
50,4864,615,615
51,4864,627,627
52,4768,639,639
53,4608,651,651
54,5248,663,663
55,4320,675,675
56,4896,687,687
57,4736,699,699
58,4704,711,711
59,4768,723,723
60,4736,735,735
61,4704,747,747
62,4736,759,759
63,4768,771,771
64,4736,783,783
65,4384,795,795
66,7584,800,800
67,125856,1325,1325
68,18240,1329,1329
69,43296,1336,1336
70,13018400,1338,1338
